FreelanceHub Capstone Project - Timesheet,,,,,,
Student: Dhruv Chavda,,,,,,
,,,,,,
========== WEEK 1 (Jan 15-22) ==========,,,,,,
,,,,,,
Date,Day,Task #,Start Time,End Time,Hours,Activity/Description
15-Jan-2026,Thursday,1,09:00,11:00,2.0,Class - Capstone project kickoff and requirements review
,,2,14:00,15:30,1.5,Research - Studied competitor platforms (Upwork/Fiverr)
,,,,,3.5,Day Total
,,,,,,
16-Jan-2026,Friday,1,10:00,11:30,1.5,Documentation - Reviewed and finalized requirements document
,,2,13:00,14:30,1.5,Planning - Created wireframe sketches for homepage and auth pages
,,,,,3.0,Day Total
,,,,,,
17-Jan-2026,Saturday,1,11:00,13:00,2.0,Research - Studied React Router and Vite documentation
,,2,15:00,16:00,1.0,Planning - Planned folder structure (Requirements Doc Section 6.1)
,,,,,3.0,Day Total
,,,,,,
18-Jan-2026,Sunday,1,10:00,12:00,2.0,Project Setup - Installed Node.js and dev environment
,,2,14:00,17:00,3.0,Project Setup - Initialized React + TypeScript + Vite + Tailwind
,,,,,5.0,Day Total
,,,,,,
19-Jan-2026,Monday,1,10:00,12:30,2.5,Auth Foundation - Created Login page UI with form validation
,,2,14:00,16:30,2.5,Auth Foundation - Created Register page with user type selection
,,,,,5.0,Day Total
,,,,,,
20-Jan-2026,Tuesday,1,10:00,12:00,2.0,Frontend - Built homepage with hero section and navigation
,,2,14:00,16:00,2.0,Frontend - Created basic dashboard layout for logged-in users
,,,,,4.0,Day Total
,,,,,,
21-Jan-2026,Wednesday,1,09:00,11:00,2.0,Documentation - Updated README and project docs
,,2,13:00,14:30,1.5,Version Control - Created GitHub repo and pushed initial code
,,,,,3.5,Day Total
,,,,,,
22-Jan-2026,Thursday,1,10:00,11:30,1.5,Review - Tested all pages and reviewed week progress
,,,,,1.5,Day Total
,,,,,,
,,,,WEEK 1 TOTAL:,28.5 hours,
,,,,,,
========== WEEK 2 (Jan 23-29) ==========,,,,,,
,,,,,,
Date,Day,Task #,Start Time,End Time,Hours,Activity/Description
23-Jan-2026,Friday,1,10:00,12:00,2.0,Backend Setup - Initialized Node.js + Express server
,,2,14:00,16:30,2.5,Backend Setup - Connected MongoDB Atlas database
,,,,,4.5,Day Total
,,,,,,
24-Jan-2026,Saturday,1,11:00,13:30,2.5,Backend - Created User model with profile schema (US-3)
,,2,15:00,17:00,2.0,Backend - Built authentication routes (login/register endpoints)
,,,,,4.5,Day Total
,,,,,,
25-Jan-2026,Sunday,1,10:00,12:30,2.5,Frontend - Created Profile page UI with form fields
,,2,14:00,16:00,2.0,Frontend - Added skills input with add/remove functionality
,,,,,4.5,Day Total
,,,,,,
26-Jan-2026,Monday,1,10:00,12:00,2.0,Backend - Created Project model and schema (US-18)
,,2,13:30,16:00,2.5,Frontend - Built Create Project page with form validation
,,,,,4.5,Day Total
,,,,,,
27-Jan-2026,Tuesday,1,09:30,12:00,2.5,Backend - Built project creation and listing endpoints
,,2,14:00,16:30,2.5,Frontend - Created Search/Browse Projects page UI (US-6)
,,,,,5.0,Day Total
,,,,,,
28-Jan-2026,Wednesday,1,10:00,12:30,2.5,Backend - Implemented search with filters (category/skills/budget)
,,2,14:00,15:30,1.5,Frontend - Added filter dropdowns and search functionality
,,,,,4.0,Day Total
,,,,,,
29-Jan-2026,Thursday,1,09:00,11:00,2.0,Class - Progress demo and feedback session
,,2,13:00,15:00,2.0,Bug Fixes - Fixed form validation and API connection issues
,,3,15:30,16:30,1.0,Documentation - Updated project README with backend setup
,,,,,5.0,Day Total
,,,,,,
,,,,WEEK 2 TOTAL:,32.0 hours,
,,,,,,
========== SUMMARY ==========,,,,,,
,,,,,,
Week 1 Total:,,,,,28.5 hours,
Week 2 Total:,,,,,32.0 hours,
GRAND TOTAL:,,,,,60.5 hours,
,,,,,,
Hours by Category:,,,,,,
Research & Planning,,,,,7.0 hours,
Documentation,,,,,6.0 hours,
Project Setup,,,,,5.0 hours,
Auth Foundation (US-1 & US-2),,,,,5.0 hours,
Frontend Development,,,,,15.0 hours,
Backend Development,,,,,14.5 hours,
Bug Fixes & Testing,,,,,6.0 hours,
Class & Meetings,,,,,2.0 hours,
,,,,,,
Deliverables Completed:,,,,,,
Week 1:,,,,,,
- Project setup (React + Vite + TypeScript),,,,,COMPLETED,
- Auth foundation (Login/Register UI),,,,,COMPLETED,
- Documentation & GitHub setup,,,,,COMPLETED,
,,,,,,
Week 2:,,,,,,
- User Profile page (US-3),,,,,COMPLETED,
- Create Project page (US-18),,,,,COMPLETED,
- Search Projects page (US-6),,,,,COMPLETED,
- Backend API setup,,,,,COMPLETED,

